run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,process_tree_cpu_seconds,process_tree_read_bytes,process_tree_write_bytes,commit_operations_per_second,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
006db74792484b3a90a6254558c50300,2026-09-23T23:27:42.617716+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,7,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,166.1519,31.913,8.5344,11.559,4468736,450000,9.930524444444444,4018736,,not sampled,,53100544,0.890625,12681352,34231351,29.527434086647077,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:54.695697+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,7,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,857.6617,880.0924500000001,332.4094,346.6875,2974733,450000,6.610517777777778,2524733,,not sampled,,157175808,11.359375,71256789,5832972,1.1249190170799603,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:27:56.147801+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,7,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,190.3005,36.020700000000005,9.2303,12.9788,4440064,450000,9.866808888888889,3990064,,not sampled,,53538816,0.90625,12718216,34165784,27.241253718771645,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:09.579955+00:00,robustness,robust-s1-payload-128,Dolt,ok,warmup,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1210.1768,960.364,335.3099,380.4082,3242386,1410000,2.299564539007092,1832386,,not sampled,,156336128,12.3125,89070624,9640514,1.0365468379133258,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:28:11.437854+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,warmup,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,214.0574,65.3647,16.4136,38.3738,7655424,1410000,5.429378723404255,6245424,,not sampled,,56659968,1.3125,22446877,47929977,15.810331672299888,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:12.987015+00:00,robustness,robust-s1-payload-128,Revon-H,ok,warmup,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,205.3939,45.0667,7.8281,20.5005,7680000,1410000,5.446808510638298,6270000,,not sampled,,57286656,1.109375,22659869,48139036,21.400225301571975,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:14.529762+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,warmup,2,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,193.8376,46.32995,11.9325,18.6803,7659520,1410000,5.432283687943262,6249520,,not sampled,,57102336,0.953125,22696074,48003778,21.603885415584223,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:16.010835+00:00,robustness,robust-s1-payload-128,Revon-H,ok,warmup,2,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,198.3889,52.2607,9.2477,19.7981,7696384,1410000,5.458428368794326,6286384,,not sampled,,57094144,1.15625,22582045,47872476,17.975896120891495,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:28.501220+00:00,robustness,robust-s1-payload-128,Dolt,ok,warmup,2,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1092.5215,875.95555,340.1582,326.2375,3242592,1410000,2.2997106382978725,1832592,,not sampled,,153894912,12.40625,89079412,9624532,1.1137554015605562,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:28:42.455183+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,1196.0397,1066.5843,226.1326,248.3144,3242375,1410000,2.2995567375886523,1832375,,not sampled,,176586752,12.9375,89075122,9640389,0.9376982147510639,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:28:43.625106+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,163.2722,36.8746,8.6715,13.5871,7696384,1410000,5.458428368794326,6286384,,not sampled,,56619008,0.78125,22733599,48118521,27.15555352794089,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:44.710774+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,164.8934,37.40435,7.1589,14.1681,7700480,1410000,5.461333333333333,6290480,,not sampled,,56918016,0.71875,22594994,47876607,26.456706245899213,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:45.825927+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,2,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,168.5815,38.383250000000004,10.337,14.6656,7704576,1410000,5.46423829787234,6294576,,not sampled,,57024512,0.765625,22528799,47757764,25.143898531294596,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:47.188031+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,2,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,162.4837,37.9638,6.9643,13.293,7671808,1410000,5.440998581560284,6261808,,not sampled,,56717312,0.734375,22504223,47638836,15.18822001655516,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:28:55.386667+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,2,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,625.2656,581.649,209.7159,223.5525,3241897,1410000,2.299217730496454,1831897,,not sampled,,168038400,7.578125,89054488,9615329,1.6878941865886004,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
