phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,process_tree_cpu_seconds_median,process_tree_cpu_seconds_p25,process_tree_cpu_seconds_p75,process_tree_read_bytes_median,process_tree_read_bytes_p25,process_tree_read_bytes_p75,process_tree_write_bytes_median,process_tree_write_bytes_p25,process_tree_write_bytes_p75,commit_operations_per_second_median,commit_operations_per_second_p25,commit_operations_per_second_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s1-range-local,Revon-H,7,True,log,log operations,150.3909,141.77555,158.39315,30.964750000000002,30.379575000000003,32.63915,5.4162,5.3644,6.1584,11.1221,10.8033,12.2147,4481024.0,4470784.0,4489216.0,450000.0,450000.0,450000.0,9.957831111111112,9.935075555555557,9.976035555555555,4031024.0,4020784.0,4039216.0,,,,,,,53325824.0,52793344.0,53401600.0,0.640625,0.6171875,0.7265625,16609424.0,16570512.0,16650384.0,34719245.0,34684358.0,34877617.5,31.983481171644467,30.515088213362496,33.97800411041646,1000.0,1000.0,1000.0
robustness,robust-s1-range-local,Revon-M (forced Merkle),7,True,merkle,tree node pairs,145.125,144.53415,147.6615,30.96395,28.685675,32.085075,9.0585,8.61745,9.1554,10.868,9.835550000000001,11.1489,4501504.0,4487168.0,4505600.0,450000.0,450000.0,450000.0,10.003342222222223,9.971484444444446,10.012444444444444,4051504.0,4037168.0,4055600.0,,,,,,,53047296.0,52932608.0,53123072.0,0.6875,0.65625,0.734375,16519312.0,13901853.0,16685085.0,34766800.0,34717180.0,34806283.0,32.31856278058573,32.11350270308381,35.07495633199879,3618.0,3618.0,3618.0
robustness,robust-s1-repeated-key,Dolt,7,True,dolt-native,not exposed by Dolt CLI,778.3126,710.2436,933.2336,675.01095,655.17085,709.4632750000001,229.2531,218.0452,241.7731,266.1919,251.14690000000002,275.9275,807747.0,807615.5,807916.5,450000.0,450000.0,450000.0,1.7949933333333334,1.794701111111111,1.7953700000000001,357747.0,357615.5,357916.5,,,,,,,153317376.0,150708224.0,154888192.0,9.515625,9.140625,9.78125,28449381.0,28447063.5,28452845.5,3172585.0,3164021.0,3177631.0,1.402199855264931,1.3421206127601963,1.4274424077238952,,,
robustness,robust-s1-repeated-key,Revon-H,7,True,log,log operations,143.0941,141.70094999999998,154.87135,29.14125,28.10285,30.546174999999998,0.9089,0.87695,0.9730000000000001,10.9597,10.81555,11.03415,4472832.0,4468736.0,4476928.0,450000.0,450000.0,450000.0,9.939626666666667,9.930524444444444,9.94872888888889,4022832.0,4018736.0,4026928.0,,,,,,,53075968.0,52678656.0,53164032.0,0.65625,0.625,0.6796875,11149458.0,11112594.0,11350162.0,34538856.0,34499654.0,34670035.5,33.44433508146873,32.591924336518915,34.405886049154795,1000.0,1000.0,1000.0
robustness,robust-s1-repeated-key,Revon-M (forced Merkle),7,True,merkle,tree node pairs,146.8149,141.40245,148.8041,28.871499999999997,27.640025,29.603924999999997,2.1644,2.0540000000000003,2.45245,11.4283,10.7643,13.0332,4481024.0,4476928.0,4493312.0,450000.0,450000.0,450000.0,9.957831111111112,9.948728888888889,9.985137777777776,4031024.0,4026928.0,4043312.0,,,,,,,53018624.0,52690944.0,53049344.0,0.671875,0.6328125,0.6875,11235474.0,11176082.0,11341970.0,34592134.0,34529135.5,34770490.5,33.49993970010854,32.76819074662492,34.03095911406364,1889.0,1889.0,1889.0
robustness,robust-s2-baseline,Dolt,7,True,dolt-native,not exposed by Dolt CLI,780.1738,726.9808,843.744,668.63985,643.6299,683.14735,248.7409,235.61075,265.91925000000003,253.8643,248.5155,262.3107,2944674.0,2944538.5,2944772.5,450000.0,450000.0,450000.0,6.54372,6.543418888888889,6.5439388888888885,2494674.0,2494538.5,2494772.5,,,,,,,153464832.0,151330816.0,154279936.0,8.8125,8.546875,9.21875,70951743.0,70948113.5,70954137.5,5779522.0,5763654.0,5794697.5,1.4266003763514454,1.3828246507680333,1.4468031674303772,,,
robustness,robust-s2-baseline,Revon-H,7,True,log,log operations,144.7625,143.83710000000002,164.56755,28.7666,27.866075000000002,29.172775,6.4204,6.368650000000001,6.553000000000001,11.0342,10.40875,11.61115,4493312.0,4485120.0,4503552.0,450000.0,450000.0,450000.0,9.985137777777778,9.966933333333333,10.007893333333334,4043312.0,4035120.0,4053552.0,,,,,,,52785152.0,52645888.0,53088256.0,0.71875,0.671875,0.7578125,11985032.0,11948168.0,12009608.0,34707442.0,34597863.5,34748180.0,33.74027478754592,32.75070011815838,34.53817943341164,1000.0,1000.0,1000.0
robustness,robust-s2-baseline,Revon-M (forced Merkle),7,True,merkle,tree node pairs,166.012,141.2577,186.1542,29.869500000000002,28.24075,32.055800000000005,9.2558,8.81265,9.6695,11.0366,10.646049999999999,11.36785,4485120.0,4476928.0,4501504.0,450000.0,450000.0,450000.0,9.966933333333333,9.948728888888889,10.003342222222223,4035120.0,4026928.0,4051504.0,,,,,,,52948992.0,52838400.0,53176320.0,0.6875,0.65625,0.7421875,11988898.0,11899016.0,12005512.0,34489666.0,34457370.0,34612908.5,33.49124455139315,31.60629584036032,33.94630254211951,3813.0,3813.0,3813.0
robustness,robust-s2-history-50,Dolt,7,True,dolt-native,not exposed by Dolt CLI,947.2441,922.61545,990.121,628.52815,624.18885,634.5960500000001,353.2348,335.27930000000003,357.3266,243.4089,242.00805,250.08775,12851496.0,12851307.5,12851930.0,450000.0,450000.0,450000.0,28.55888,28.55846111111111,28.559844444444444,12401496.0,12401307.5,12401930.0,,,,,,,174870528.0,168740864.0,176144384.0,32.78125,32.1171875,32.9140625,1033106904.0,1020795079.5,1036013643.5,26775428.0,26522782.5,26956064.5,1.5534934807599474,1.5336275344485797,1.5745208900683663,,,
robustness,robust-s2-history-50,Revon-H,7,True,merkle,tree node pairs,149.984,134.875,183.63785000000001,45.18245,43.7109,48.692025,46.5931,45.1613,58.86985,22.9991,22.5102,28.85785,11599872.0,11579392.0,11638784.0,450000.0,450000.0,450000.0,25.777493333333332,25.73198222222222,25.863964444444445,11149872.0,11129392.0,11188784.0,,,,,,,72421376.0,72126464.0,72648704.0,2.59375,2.5234375,3.5234375,98198282.0,94687083.5,98734858.0,214092724.0,213153903.0,214328447.5,21.79866638374904,16.31551140683082,22.16387417878034,4310.0,4310.0,4310.0
robustness,robust-s2-history-50,Revon-M (forced Merkle),7,True,merkle,tree node pairs,151.6969,147.67365,161.49964999999997,44.65860000000001,42.322449999999996,46.172725,52.089,48.30095,57.65475,26.0318,23.22405,28.82845,11661312.0,11628544.0,11683840.0,450000.0,450000.0,450000.0,25.91402666666667,25.84120888888889,25.964088888888888,11211312.0,11178544.0,11233840.0,,,,,,,72458240.0,72411136.0,72595456.0,2.796875,2.578125,3.15625,96928522.0,95490826.0,110510858.0,214305886.0,213506416.0,215203829.5,19.814340422811867,18.68550541037888,21.2720371591142,4310.0,4310.0,4310.0
robustness,robust-s2-payload-128,Dolt,7,True,dolt-native,not exposed by Dolt CLI,809.7064,780.7387,856.18775,648.31695,637.975925,667.275275,242.3379,233.8082,247.73305,263.8755,256.32205,266.582,3289213.0,3289087.5,3289298.5,1410000.0,1410000.0,1410000.0,2.3327751773049648,2.332686170212766,2.332835815602837,1879213.0,1879087.5,1879298.5,,,,,,,154943488.0,153700352.0,158863360.0,8.984375,8.859375,9.0,89731527.0,89729695.0,89734570.0,9668441.0,9635151.0,9675015.0,1.3988933270955748,1.3982213472557694,1.454546351077872,,,
robustness,robust-s2-payload-128,Revon-H,7,True,log,log operations,165.9036,160.998,176.26364999999998,38.9025,37.1871,40.319500000000005,6.6948,6.48265,7.2402,14.2508,13.581399999999999,15.337150000000001,7663616.0,7655424.0,7669760.0,1410000.0,1410000.0,1410000.0,5.435188652482269,5.429378723404255,5.43954609929078,6253616.0,6245424.0,6259760.0,,,,,,,56971264.0,56801280.0,57194496.0,0.734375,0.71875,0.7890625,24330380.0,24244364.0,24432780.0,47585561.0,47489173.0,47731086.5,25.439285583455103,21.887160010290913,26.55256815210103,1000.0,1000.0,1000.0
robustness,robust-s2-payload-128,Revon-M (forced Merkle),7,True,merkle,tree node pairs,165.8699,162.6063,180.04645,37.77485,37.316725,39.797725,9.813,9.2659,9.9528,15.5459,15.163350000000001,15.814049999999998,7655424.0,7641088.0,7688192.0,1410000.0,1410000.0,1410000.0,5.429378723404255,5.419211347517731,5.452618439716312,6245424.0,6231088.0,6278192.0,,,,,,,57032704.0,56911872.0,57214976.0,0.75,0.703125,0.8046875,24187020.0,24145945.0,24489064.5,47425675.0,47403102.5,47502735.0,25.872993614027717,24.932024716785303,26.66485209319145,3813.0,3813.0,3813.0
robustness,robust-s2-range-local,Dolt,7,True,dolt-native,not exposed by Dolt CLI,792.1587,761.8206,817.5187,681.5584,654.4597249999999,701.6223,255.5467,236.6627,266.88620000000003,251.5932,248.28904999999997,260.8929,738655.0,738454.5,738668.0,450000.0,450000.0,450000.0,1.6414555555555554,1.64101,1.6414844444444445,288655.0,288454.5,288668.0,,,,,,,154591232.0,152932352.0,162535424.0,9.046875,8.640625,9.3046875,27451440.0,27449161.0,27454324.0,3197027.0,3171443.0,3212125.5,1.3823942088962984,1.350421775679917,1.441098952769166,,,
robustness,robust-s2-range-local,Revon-H,7,True,log,log operations,159.2318,152.93259999999998,166.92685,29.6839,27.987025000000003,30.981450000000002,5.6015,5.5758,5.7822499999999994,10.8529,10.333950000000002,11.085049999999999,4448256.0,4442112.0,4456448.0,450000.0,450000.0,450000.0,9.885013333333333,9.87136,9.903217777777778,3998256.0,3992112.0,4006448.0,,,,,,,53161984.0,53047296.0,53370880.0,0.703125,0.6640625,0.7109375,16732304.0,15022224.0,16920720.0,34260061.0,34210874.0,34353407.0,31.98719488614318,30.587451385000342,34.12200563971332,1000.0,1000.0,1000.0
robustness,robust-s2-range-local,Revon-M (forced Merkle),7,True,merkle,tree node pairs,142.9656,140.8581,148.69785000000002,30.98955,29.302825,31.916875000000005,9.3444,8.87145,9.529399999999999,11.1481,10.80485,11.4337,4476928.0,4460544.0,4491264.0,450000.0,450000.0,450000.0,9.948728888888889,9.912320000000001,9.980586666666667,4026928.0,4010544.0,4041264.0,,,,,,,52965376.0,52770816.0,53284864.0,0.671875,0.6640625,0.6875,16842896.0,16777360.0,17653789.0,34128376.0,34054094.0,34419915.0,31.909448643018784,30.982394833254304,33.620236413472256,3720.0,3720.0,3720.0
robustness,robust-s2-repeated-key,Dolt,7,True,dolt-native,not exposed by Dolt CLI,806.2526,758.9234,811.9446499999999,635.2263,615.7747999999999,642.8515749999999,203.8551,198.9178,208.94845,236.2612,235.8573,243.43824999999998,804276.0,804253.5,804282.0,450000.0,450000.0,450000.0,1.78728,1.78723,1.7872933333333334,354276.0,354253.5,354282.0,,,,,,,158720000.0,154781696.0,161380352.0,8.375,8.359375,8.640625,28417400.0,28413863.5,28421204.0,3153185.0,3127891.0,3177252.0,1.5047190472106955,1.4535712366044908,1.542854719795882,,,
