phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
evaluation,medium-dense,Dolt (bulk import),7,True,dolt-native,not exposed by Dolt CLI,823.514,786.17815,914.1018,899.5238999999999,868.13485,984.51705,496.2224,469.68005,512.68315,284.6986,270.37465,292.624,5034906.0,5034791.0,5035017.0,450000.0,450000.0,450000.0,11.18868,11.188424444444443,11.188926666666667,4584906.0,4584791.0,4585017.0,2346753.0,2346753.0,2346753.0,738.3583,738.3583,738.3583,157437952.0,156319744.0,162224128.0,,,
evaluation,medium-dense,Log-only,7,True,operation-log,operations,16.1174,12.43545,21.17825,4.71965,4.64025,5.057449999999999,51.7801,49.7531,52.63575,34.9555,33.41785,37.647400000000005,1929683.0,1929683.0,1929683.0,450000.0,450000.0,450000.0,4.288184444444444,4.288184444444444,4.288184444444444,1479683.0,1479683.0,1479683.0,,,,,,,45735936.0,45594624.0,45760512.0,10000.0,10000.0,10000.0
evaluation,medium-dense,Revon-H,7,True,merkle,tree node pairs,171.8181,171.07825,179.30419999999998,130.19754999999998,127.360925,131.0437,50.3909,47.9529,51.74225,19.054,17.513550000000002,21.6175,11202560.0,11173888.0,11223040.0,450000.0,450000.0,450000.0,24.894577777777776,24.830862222222223,24.940088888888887,10752560.0,10723888.0,10773040.0,10096640.0,10096640.0,10096640.0,409.2674,409.2674,409.2674,64180224.0,63827968.0,64471040.0,4311.0,4311.0,4311.0
evaluation,medium-dense,Revon-M (forced Merkle),7,True,merkle,tree node pairs,193.983,163.63215000000002,269.0135,155.3973,122.138325,164.212875,51.3603,44.075199999999995,65.1193,18.4817,17.7389,25.8373,11182080.0,11165696.0,11190272.0,450000.0,450000.0,450000.0,24.849066666666666,24.81265777777778,24.867271111111112,10732080.0,10715696.0,10740272.0,10092544.0,10092544.0,10092544.0,292.1882,292.1882,292.1882,64282624.0,64165888.0,64372736.0,4311.0,4311.0,4311.0
evaluation,medium-dense,Snapshot,7,True,full-scan,keys,15.9725,14.1463,19.627850000000002,10.6281,10.1119,12.618075,89.2288,85.5907,95.0793,11.1063,10.41395,11.6083,5610011.0,5610011.0,5610011.0,450000.0,450000.0,450000.0,12.46669111111111,12.46669111111111,12.46669111111111,5160011.0,5160011.0,5160011.0,,,,,,,45694976.0,45565952.0,45742080.0,10010.0,10010.0,10010.0
evaluation,medium-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1456.1124,1202.77605,1500.9747499999999,1003.40545,967.526525,1438.8186249999999,503.315,400.616,533.62655,427.1042,384.214,466.672,940288.0,939985.0,940685.0,450000.0,450000.0,450000.0,2.0895288888888888,2.0888555555555555,2.090411111111111,490288.0,489985.0,490685.0,812217.0,812217.0,812217.0,709.7,709.7,709.7,151322624.0,149346304.0,154771456.0,,,
evaluation,medium-sparse,Dolt (bulk import),7,True,dolt-native,not exposed by Dolt CLI,1044.8947,938.7416499999999,1321.5558500000002,1070.72755,1006.82285,1110.4751,362.1538,329.97745,472.94245,513.0281,394.326,563.24905,893305.0,893101.0,893428.0,450000.0,450000.0,450000.0,1.9851222222222222,1.9846688888888888,1.9853955555555554,443305.0,443101.0,443428.0,812208.0,812208.0,812208.0,520.9291,520.9291,520.9291,154656768.0,152752128.0,157036544.0,,,
evaluation,medium-sparse,Log-only,7,True,operation-log,operations,15.9443,14.28555,17.2939,3.39155,2.96405,3.443925,15.9052,13.6388,17.837200000000003,27.6808,27.10675,29.57775,523883.0,523883.0,523883.0,450000.0,450000.0,450000.0,1.1641844444444445,1.1641844444444445,1.1641844444444445,73883.0,73883.0,73883.0,,,,,,,38752256.0,38682624.0,38819840.0,100.0,100.0,100.0
evaluation,medium-sparse,Revon-H,7,True,log,log operations,358.2817,299.42305,385.46614999999997,30.6854,25.4118,32.62305,0.814,0.7303,1.20725,21.4573,16.87105,27.3704,3055616.0,3055616.0,3065856.0,450000.0,450000.0,450000.0,6.790257777777778,6.790257777777778,6.813013333333334,2605616.0,2605616.0,2615856.0,2793472.0,2793472.0,2793472.0,103.3787,103.3787,103.3787,46485504.0,46379008.0,46745600.0,100.0,100.0,100.0
evaluation,medium-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,391.6704,208.6797,494.97335,18.770000000000003,17.524775,26.971649999999997,1.8283,1.7300499999999999,2.3497500000000002,15.3164,13.40655,18.6137,3055616.0,3051520.0,3059712.0,450000.0,450000.0,450000.0,6.790257777777778,6.781155555555555,6.79936,2605616.0,2601520.0,2609712.0,2793472.0,2793472.0,2793472.0,94.2872,94.2872,94.2872,46731264.0,46417920.0,46817280.0,1141.0,1141.0,1141.0
evaluation,medium-sparse,Snapshot,7,True,full-scan,keys,20.7424,16.18015,21.56955,11.492650000000001,9.788375,14.375225,69.0788,64.2043,84.06915000000001,12.3947,9.938099999999999,13.652149999999999,5610011.0,5610011.0,5610011.0,450000.0,450000.0,450000.0,12.46669111111111,12.46669111111111,12.46669111111111,5160011.0,5160011.0,5160011.0,,,,,,,38662144.0,38414336.0,38817792.0,10010.0,10010.0,10010.0
evaluation,small-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1015.4225,826.4916499999999,1075.95135,980.6610499999999,862.418925,1052.510125,411.6903,307.22505,443.96645,336.8175,283.8221,362.48055,376745.0,376723.5,376995.5,45000.0,45000.0,45000.0,8.372111111111112,8.371633333333333,8.377677777777777,331745.0,331723.5,331995.5,293427.0,293427.0,293427.0,245.6292,245.6292,245.6292,143982592.0,143452160.0,147460096.0,,,
evaluation,small-sparse,Dolt (bulk import),7,True,dolt-native,not exposed by Dolt CLI,996.2657,898.61685,1043.5501,1020.0025499999999,964.23745,1064.98655,279.5875,256.7904,295.5243,317.362,283.0915,344.8681,376774.0,376590.5,377450.5,45000.0,45000.0,45000.0,8.372755555555555,8.368677777777778,8.387788888888888,331774.0,331590.5,332450.5,293372.0,293372.0,293372.0,287.5119,287.5119,287.5119,145686528.0,144386048.0,146913280.0,,,
evaluation,small-sparse,Log-only,7,True,operation-log,operations,8.1603,5.62485,12.18825,2.9608499999999998,2.814825,3.000025,14.4789,13.72095,15.14955,16.204,12.8769,16.7521,64883.0,64883.0,64883.0,45000.0,45000.0,45000.0,1.4418444444444445,1.4418444444444445,1.4418444444444445,19883.0,19883.0,19883.0,,,,,,,30625792.0,30304256.0,30707712.0,100.0,100.0,100.0
evaluation,small-sparse,Revon-H,7,True,log,log operations,49.2128,47.444900000000004,52.077749999999995,14.52645,12.184650000000001,16.3682,0.6586,0.5347,0.7907,1.1879,1.03015,1.28945,749568.0,739328.0,755712.0,45000.0,45000.0,45000.0,16.657066666666665,16.42951111111111,16.7936,704568.0,694328.0,710712.0,663552.0,663552.0,663552.0,27.5684,27.5684,27.5684,33554432.0,33456128.0,33697792.0,100.0,100.0,100.0
evaluation,small-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,48.2099,44.98355,50.66995,14.26145,13.417625000000001,16.286175,1.0006,0.9581500000000001,2.1534500000000003,1.232,1.16105,1.51835,749568.0,747520.0,751616.0,45000.0,45000.0,45000.0,16.657066666666665,16.611555555555555,16.702577777777776,704568.0,702520.0,706616.0,675840.0,675840.0,675840.0,29.4733,29.4733,29.4733,33382400.0,33251328.0,33499136.0,635.0,635.0,635.0
evaluation,small-sparse,Snapshot,7,True,full-scan,keys,5.1555,4.1332,9.708649999999999,4.14445,3.78775,4.521075,36.3288,30.752699999999997,39.09545,1.0116,0.9914000000000001,1.1194,561011.0,561011.0,561011.0,45000.0,45000.0,45000.0,12.466911111111111,12.466911111111111,12.466911111111111,516011.0,516011.0,516011.0,,,,,,,30773248.0,30613504.0,30877696.0,1010.0,1010.0,1010.0
