run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:51.305803+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,6,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,246.867,45.4734,11.2487,19.9374,4481024,450000,9.957831111111112,4031024,,not sampled,,48975872,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:52.965815+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,6,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,210.7121,57.8431,23.652,18.4739,4452352,450000,9.894115555555556,4002352,,not sampled,,48992256,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:04.694886+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,6,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1201.6435,669.80155,238.4176,233.6583,2975256,450000,6.61168,2525256,,not sampled,,161435648,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:05.753670+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,7,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,150.5218,28.6032,8.7588,11.4351,4440064,450000,9.866808888888889,3990064,,not sampled,,48717824,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:14.405096+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,7,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,730.0701,603.88255,238.173,255.4067,2974915,450000,6.610922222222222,2524915,,not sampled,,157294592,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:15.491587+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,7,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,159.7376,33.3437,7.1265,10.3505,4460544,450000,9.91232,4010544,,not sampled,,48443392,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:26.171394+00:00,robustness,robust-s1-payload-128,Dolt,ok,warmup,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,736.927,653.3631,317.1673,406.051,3242608,1410000,2.299721985815603,1832608,,not sampled,,149544960,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:27.474436+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,warmup,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,180.7122,41.882400000000004,11.3405,16.9322,7737344,1410000,5.487478014184397,6327344,,not sampled,,52842496,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:28.779387+00:00,robustness,robust-s1-payload-128,Revon-H,ok,warmup,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,225.0796,43.99765,6.4756,16.4777,7659520,1410000,5.432283687943262,6249520,,not sampled,,53047296,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:30.118133+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,warmup,2,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,191.4889,49.21025,12.3893,19.2873,7663616,1410000,5.435188652482269,6253616,,not sampled,,52994048,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:32:31.369011+00:00,robustness,robust-s1-payload-128,Revon-H,ok,warmup,2,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,255.2772,39.7721,6.317,14.5647,7684096,1410000,5.449713475177305,6274096,,not sampled,,52568064,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
