phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,process_tree_cpu_seconds_median,process_tree_cpu_seconds_p25,process_tree_cpu_seconds_p75,process_tree_read_bytes_median,process_tree_read_bytes_p25,process_tree_read_bytes_p75,process_tree_write_bytes_median,process_tree_write_bytes_p25,process_tree_write_bytes_p75,commit_operations_per_second_median,commit_operations_per_second_p25,commit_operations_per_second_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s3-history-50,Dolt,3,True,dolt-native,not exposed by Dolt CLI,194.329993,192.8062015,202.5223595,142.3729375,141.37514750000003,142.68197550000002,103.194421,102.775837,105.214915,70.704469,70.0793505,71.30425600000001,12941190.0,12940657.0,12941413.0,450000.0,450000.0,450000.0,28.7582,28.757015555555554,28.758695555555555,12491190.0,12490657.0,12491413.0,,,,,,,154271744.0,153587712.0,156504064.0,7.55,7.42,7.62,147456.0,147456.0,147456.0,237568.0,237568.0,243712.0,7.013643853340219,7.007799761962909,7.064840513602939,,,
robustness,robust-s3-history-50,Revon-H,3,True,merkle,tree node pairs,97.004709,96.41975400000001,97.45063200000001,7.265731,7.2637965,7.31048275,20.093467,20.0316445,20.3280625,11.549285,11.1351005,12.782639499999998,11706368.0,11694080.0,11712512.0,450000.0,450000.0,450000.0,26.01415111111111,25.986844444444444,26.027804444444445,11256368.0,11244080.0,11262512.0,,,,,,,64532480.0,64049152.0,64659456.0,1.22,1.21,1.23,,,,,,,135.82488990129502,135.81477319871573,137.59344613552275,4315.0,4315.0,4315.0
robustness,robust-s3-history-50,Revon-M (forced Merkle),3,True,merkle,tree node pairs,92.212543,91.86027849999999,93.614087,7.4598130000000005,7.314896,7.48138125,19.821593,19.7389045,20.341635500000002,11.552514,11.414668500000001,11.6049975,11702272.0,11694080.0,11728896.0,450000.0,450000.0,450000.0,26.00504888888889,25.986844444444444,26.064213333333335,11252272.0,11244080.0,11278896.0,,,,,,,65044480.0,64235520.0,65126400.0,1.22,1.205,1.23,,,,,,,134.98775441037458,134.05793971834203,137.6367958709996,4315.0,4315.0,4315.0
robustness,robust-s3-payload-128,Dolt,3,True,dolt-native,not exposed by Dolt CLI,223.440124,221.147895,224.025703,134.4821305,134.26795149999998,135.16147625000002,61.536612,61.3585715,61.662031,79.043119,78.1674785,79.5898605,3267941.0,3267926.0,3267943.5,1410000.0,1410000.0,1410000.0,2.3176886524822695,2.317678014184397,2.317690425531915,1857941.0,1857926.0,1857943.5,,,,,,,153849856.0,152668160.0,154439680.0,1.92,1.885,1.92,114688.0,114688.0,114688.0,61440.0,61440.0,61440.0,7.4321381830339925,7.379867651182524,7.443471011963476,,,
robustness,robust-s3-payload-128,Revon-H,3,True,log,log operations,113.518579,112.8972875,115.1449035,7.499401000000001,7.4366255,7.55086625,4.45425,4.397698999999999,4.5918615,10.404948,10.3053555,10.5520435,7680000.0,7667712.0,7690240.0,1410000.0,1410000.0,1410000.0,5.446808510638298,5.438093617021277,5.4540709219858154,6270000.0,6257712.0,6280240.0,,,,,,,51929088.0,51861504.0,52035584.0,0.4,0.395,0.4,,,,,,,133.24458355771165,132.92859517963188,134.4281207828887,1000.0,1000.0,1000.0
robustness,robust-s3-payload-128,Revon-M (forced Merkle),3,True,merkle,tree node pairs,111.517174,110.3955885,111.8980215,7.167698,7.10383125,7.46606575,7.614903,7.466927500000001,7.7092410000000005,10.081874,9.755834,10.537686999999998,7655424.0,7645184.0,7665664.0,1410000.0,1410000.0,1410000.0,5.429378723404255,5.422116312056738,5.436641134751773,6245424.0,6235184.0,6255664.0,,,,,,,51953664.0,51949568.0,52172800.0,0.4,0.395,0.4,,,,,,,133.86645560031855,131.4910478561074,137.14299182710826,3814.0,3814.0,3814.0
robustness,robust-s3-range-local,Dolt,3,True,dolt-native,not exposed by Dolt CLI,198.56825,194.752576,200.464008,130.9002875,130.86260299999998,136.45467324999998,70.899501,65.703187,71.352397,71.805286,69.606279,84.1090105,763697.0,763696.5,763754.5,450000.0,450000.0,450000.0,1.6971044444444445,1.6971033333333334,1.6972322222222223,313697.0,313696.5,313754.5,,,,,,,145506304.0,143202304.0,146425856.0,1.86,1.79,1.915,4096.0,4096.0,4096.0,61440.0,61440.0,63488.0,7.641254957320508,7.345382893009377,7.641681280913554,,,
robustness,robust-s3-range-local,Revon-H,3,True,log,log operations,99.677519,98.2992885,111.8645975,6.7634810000000005,6.6557905,6.903294750000001,4.755682,4.3592395,4.8196025,8.413613,8.0102405,8.6439355,4456448.0,4454400.0,4460544.0,450000.0,450000.0,450000.0,9.903217777777778,9.898666666666667,9.912320000000001,4006448.0,4004400.0,4010544.0,,,,,,,47280128.0,47276032.0,47292416.0,0.39,0.375,0.39,,,,,,,146.7532056623492,143.05900396519155,147.37737557684392,1000.0,1000.0,1000.0
robustness,robust-s3-range-local,Revon-M (forced Merkle),3,True,merkle,tree node pairs,103.205042,99.318556,112.2706105,6.5987225,6.455268500000001,6.633067499999999,7.277726,7.1975985,7.536852,8.410011,8.230387,8.6324295,4472832.0,4468736.0,4474880.0,450000.0,450000.0,450000.0,9.939626666666667,9.930524444444444,9.944177777777778,4022832.0,4018736.0,4024880.0,,,,,,,46624768.0,46508032.0,46903296.0,0.37,0.36,0.38,,,,,,,151.75942210133474,148.6907349891846,154.93759657035864,3792.0,3792.0,3792.0
robustness,robust-s3-repeated-key,Dolt,3,True,dolt-native,not exposed by Dolt CLI,196.680962,194.145087,204.4108035,135.2268305,133.64318600000001,137.4513085,56.319328,52.403406000000004,60.7792115,83.403228,75.50500199999999,84.053023,804212.0,804095.5,804220.0,450000.0,450000.0,450000.0,1.7871377777777777,1.786878888888889,1.7871555555555556,354212.0,354095.5,354220.0,,,,,,,143572992.0,142094336.0,143630336.0,1.92,1.815,2.0,,,,65536.0,63488.0,65536.0,7.047475417519524,6.989652848754178,7.320550690975798,,,
robustness,robust-s3-repeated-key,Revon-H,3,True,log,log operations,95.013154,94.580611,95.5187225,6.6054794999999995,6.41531775,7.197131,0.57453,0.5700974999999999,0.724727,8.192018,8.025394499999999,8.5387455,4485120.0,4485120.0,4501504.0,450000.0,450000.0,450000.0,9.966933333333333,9.966933333333333,10.003342222222223,4035120.0,4035120.0,4051504.0,,,,,,,46743552.0,46743552.0,46807040.0,0.35,0.33999999999999997,0.38,,,,,,,151.55811824167304,137.81047843171856,154.9772879316474,1000.0,1000.0,1000.0
robustness,robust-s3-repeated-key,Revon-M (forced Merkle),3,True,merkle,tree node pairs,104.233671,101.0621005,107.41325549999999,6.485352499999999,6.239665,6.54909525,1.379845,1.3683405,1.4037055,8.177511,7.678541500000001,8.209338500000001,4485120.0,4485120.0,4489216.0,450000.0,450000.0,450000.0,9.966933333333333,9.966933333333333,9.976035555555555,4035120.0,4035120.0,4039216.0,,,,,,,46743552.0,46692352.0,46743552.0,0.35,0.35,0.36,,,,,,,152.35437945558482,151.75128646429886,159.21094419448946,1875.0,1875.0,1875.0
