run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,process_tree_cpu_seconds,process_tree_read_bytes,process_tree_write_bytes,commit_operations_per_second,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:47.263190+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,3,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,108.710053,7.3309999999999995,4.724032,10.654759,7639040,1410000,5.417758865248227,6229040,,not sampled,,52084736,0.39,,,135.23382658879868,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:49.485282+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,3,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,223.39599,136.343346,60.304992,78.628577,3241755,1410000,2.299117021276596,1831755,,not sampled,,156340224,1.9000000000000001,221184,65536,7.346422371793227,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:50.034859+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,3,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,108.361803,7.4920845,6.750763,9.455293,7614464,1410000,5.400329078014185,6204464,,not sampled,,51900416,0.4,,,132.4919722120347,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:51.407701+00:00,robustness,robust-s1-history-50,Revon-M (forced Merkle),ok,warmup,1,1,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,merkle,merkle,4096,96.261505,7.3594245,22.233413,11.177102,11751424,450000,26.114275555555555,11301424,,not sampled,,64598016,1.22,,,136.52278183920768,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),4309,tree node pairs,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:59.667970+00:00,robustness,robust-s1-history-50,Dolt,ok,warmup,1,2,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,dolt-native,dolt-native,4096,199.584095,140.219798,101.314339,72.168286,13053348,450000,29.00744,12603348,,not sampled,,158203904,7.34,507904,241664,7.091481021251665,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:28:01.010253+00:00,robustness,robust-s1-history-50,Revon-H,ok,warmup,1,3,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,hybrid,merkle,4096,98.454136,7.278166000000001,20.621098,11.829053,11694080,450000,25.986844444444444,11244080,,not sampled,,65011712,1.2,,,138.6333425826727,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),4309,tree node pairs,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:28:02.359376+00:00,robustness,robust-s1-history-50,Revon-H,ok,measured,1,1,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,hybrid,merkle,4096,100.485328,7.4405975,20.432671,11.614163,11743232,450000,26.09607111111111,11293232,,not sampled,,64540672,1.23,,,134.99602537952276,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),4309,tree node pairs,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:28:03.734176+00:00,robustness,robust-s1-history-50,Revon-M (forced Merkle),ok,measured,1,2,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,merkle,merkle,4096,98.374965,7.823453000000001,21.691368,11.616864,11788288,450000,26.196195555555555,11338288,,not sampled,,64688128,1.26,,,117.11545002616523,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),4309,tree node pairs,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:28:12.350085+00:00,robustness,robust-s1-history-50,Dolt,ok,measured,1,3,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,dolt-native,dolt-native,4096,208.097216,146.55982749999998,105.904975,73.210859,13052940,450000,29.006533333333334,12602940,,not sampled,,154013696,7.87,262144,237568,6.819596272194543,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:28:13.713744+00:00,robustness,robust-s1-history-50,Revon-M (forced Merkle),ok,measured,2,1,20260923,10000,50,100,spread,32,a1e8f0e19789e28a16b7f0c82e93d03ae8f291f905ee2523bad2f710ecd9a581,merkle,merkle,4096,95.4974,7.2194605,20.411574,10.968427,11751424,450000,26.114275555555555,11301424,,not sampled,,64622592,1.21,,,139.57227428928695,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),4309,tree node pairs,4006,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
